Location,avgGDP_10year,Weighted_avgGDP_10year,WeightAvg_ComparedCanada
Luxembourg,110552.28,111232.72,64470.85
Switzerland,83136.27,83137.01,36375.14
Norway,86708.86,81771.09,35009.22
Qatar,79115.43,73081.48,26319.61
Ireland,60654.19,68797.4,22035.54
Iceland,56977.77,63510.1,16748.24
Singapore,57243.84,60455.58,13693.71
United States,56052.41,60071.71,13309.84
Denmark,58893.62,59054.16,12292.29
Australia,58863.03,56416.39,9654.52
Sweden,55254.02,53639.53,6877.66
Netherlands,50685.09,51070.16,4308.3
Austria,48771.34,49162.48,2400.61
San Marino,50098.98,48287.16,1525.29
Finland,47547.28,47855.22,1093.36
Canada,48017.28,46761.87,0.0
Germany,44913.09,45567.63,-1194.24
Belgium,44965.82,44937.12,-1824.75
United Kingdom,42151.96,41815.47,-4946.4
France,41984.09,41681.94,-5079.93
New Zealand,39634.13,40317.73,-6444.14
Japan,41198.91,40265.69,-6496.18
Israel,36916.3,39621.05,-7140.81
United Arab Emirates,39383.76,38707.43,-8054.44
Italy,33925.33,33327.09,-13434.77
Bahamas,31217.13,32238.99,-14522.87
Brunei Darussalam,36255.97,32047.5,-14714.37
Kuwait,34439.74,31470.14,-15291.72
"Korea, Republic of",28443.88,30292.43,-16469.44
Spain,29179.21,29344.07,-17417.8
Malta,25527.4,27882.91,-18878.96
Cyprus,27751.22,27359.71,-19402.16
Bahrain,24222.76,24661.76,-22100.11
Slovenia,23753.45,24601.01,-22160.86
Saudi Arabia,22671.9,22657.89,-24103.98
Portugal,21728.12,22171.94,-24589.92
Czech Republic,20393.99,21422.53,-25339.34
Estonia,19258.46,21107.42,-25654.45
Greece,21398.86,20370.73,-26391.13
Oman,19790.03,18733.45,-28028.42
Slovak Republic,17854.94,18490.21,-28271.66
Barbados,16909.04,17394.98,-29366.89
Lithuania,15739.39,17269.57,-29492.3
Trinidad and Tobago,17928.5,17121.32,-29640.55
Saint Kitts and Nevis,16181.68,17024.24,-29737.63
Antigua and Barbuda,15094.23,16399.29,-30362.57
Uruguay,15576.64,16335.2,-30426.67
Latvia,14887.17,16306.01,-30455.86
Seychelles,14346.27,15650.67,-31111.2
Palau,14121.26,15501.08,-31260.78
Hungary,14140.4,15350.89,-31410.98
Chile,14688.44,15038.81,-31723.05
Panama,12767.72,14487.84,-32274.03
Poland,13695.93,14225.12,-32536.74
Croatia,13600.06,14047.53,-32714.33
Maldives,11331.03,13250.0,-33511.86
Argentina,12859.04,12025.24,-34736.63
Equatorial Guinea,14912.13,11887.63,-34874.24
Russian Federation,12225.23,11503.43,-35258.44
Costa Rica,10795.76,11475.54,-35286.33
