Year,Province,Sector,Use of Funds,Current dollars,Current dollars per capita
1975,Newfoundland and Labrador,Provincial Government,Hospitals,"111,121,750",200
1976,Newfoundland and Labrador,Provincial Government,Hospitals,"123,335,500",219
1977,Newfoundland and Labrador,Provincial Government,Hospitals,"137,070,750",242
1978,Newfoundland and Labrador,Provincial Government,Hospitals,"156,226,250",275
1979,Newfoundland and Labrador,Provincial Government,Hospitals,"181,159,000",318
1980,Newfoundland and Labrador,Provincial Government,Hospitals,"206,356,250",360
1981,Newfoundland and Labrador,Provincial Government,Hospitals,"241,793,250",420
1982,Newfoundland and Labrador,Provincial Government,Hospitals,"274,765,750",479
1983,Newfoundland and Labrador,Provincial Government,Hospitals,"303,435,750",524
1984,Newfoundland and Labrador,Provincial Government,Hospitals,"313,394,000",540
1985,Newfoundland and Labrador,Provincial Government,Hospitals,"323,631,000",559
1986,Newfoundland and Labrador,Provincial Government,Hospitals,"349,609,500",607
1987,Newfoundland and Labrador,Provincial Government,Hospitals,"371,608,250",646
1988,Newfoundland and Labrador,Provincial Government,Hospitals,"402,842,750",701
1989,Newfoundland and Labrador,Provincial Government,Hospitals,"427,243,000",741
1990,Newfoundland and Labrador,Provincial Government,Hospitals,"471,488,250",817
1991,Newfoundland and Labrador,Provincial Government,Hospitals,"492,307,658",849
1992,Newfoundland and Labrador,Provincial Government,Hospitals,"511,042,955",881
1993,Newfoundland and Labrador,Provincial Government,Hospitals,"508,676,135",877
1994,Newfoundland and Labrador,Provincial Government,Hospitals,"519,955,314",905
1995,Newfoundland and Labrador,Provincial Government,Hospitals,"506,510,997",893
1996,Newfoundland and Labrador,Provincial Government,Hospitals,"472,138,473",844
1997,Newfoundland and Labrador,Provincial Government,Hospitals,"449,858,642",817
1998,Newfoundland and Labrador,Provincial Government,Hospitals,"498,716,239",924
1999,Newfoundland and Labrador,Provincial Government,Hospitals,"521,458,808",978
2000,Newfoundland and Labrador,Provincial Government,Hospitals,"551,477,511","1,045"
2001,Newfoundland and Labrador,Provincial Government,Hospitals,"616,214,164","1,180"
2002,Newfoundland and Labrador,Provincial Government,Hospitals,"667,569,232","1,285"
2003,Newfoundland and Labrador,Provincial Government,Hospitals,"684,318,242","1,320"
2004,Newfoundland and Labrador,Provincial Government,Hospitals,"697,108,279","1,347"
2005,Newfoundland and Labrador,Provincial Government,Hospitals,"744,510,268","1,448"
2006,Newfoundland and Labrador,Provincial Government,Hospitals,"820,971,113","1,608"
2007,Newfoundland and Labrador,Provincial Government,Hospitals,"875,997,280","1,721"
2008,Newfoundland and Labrador,Provincial Government,Hospitals,"934,034,952","1,826"
