_REF_DATE_,GEO,DGUID,Statistic,Expenditures,UOM,VALUE
2010,Canada,2016A000011124,Average expenditure per household,Total expenditure,Dollars,72075
2011,Canada,2016A000011124,Average expenditure per household,Total expenditure,Dollars,73646
2012,Canada,2016A000011124,Average expenditure per household,Total expenditure,Dollars,75695
2013,Canada,2016A000011124,Average expenditure per household,Total expenditure,Dollars,79098
2014,Canada,2016A000011124,Average expenditure per household,Total expenditure,Dollars,80727
2015,Canada,2016A000011124,Average expenditure per household,Total expenditure,Dollars,82697
2016,Canada,2016A000011124,Average expenditure per household,Total expenditure,Dollars,84489
2017,Canada,2016A000011124,Average expenditure per household,Total expenditure,Dollars,86070
2010,Canada,2016A000011124,Average expenditure per household,Total current consumption,Dollars,54013
2011,Canada,2016A000011124,Average expenditure per household,Total current consumption,Dollars,55227
2012,Canada,2016A000011124,Average expenditure per household,Total current consumption,Dollars,56330
2013,Canada,2016A000011124,Average expenditure per household,Total current consumption,Dollars,58576
2014,Canada,2016A000011124,Average expenditure per household,Total current consumption,Dollars,59055
2015,Canada,2016A000011124,Average expenditure per household,Total current consumption,Dollars,60516
2016,Canada,2016A000011124,Average expenditure per household,Total current consumption,Dollars,62183
2017,Canada,2016A000011124,Average expenditure per household,Total current consumption,Dollars,63723
2010,Canada,2016A000011124,Average expenditure per household,Food expenditures,Dollars,7850
2011,Canada,2016A000011124,Average expenditure per household,Food expenditures,Dollars,7791
2012,Canada,2016A000011124,Average expenditure per household,Food expenditures,Dollars,7760
2013,Canada,2016A000011124,Average expenditure per household,Food expenditures,Dollars,7934
2014,Canada,2016A000011124,Average expenditure per household,Food expenditures,Dollars,8109
2015,Canada,2016A000011124,Average expenditure per household,Food expenditures,Dollars,8629
2016,Canada,2016A000011124,Average expenditure per household,Food expenditures,Dollars,8784
2017,Canada,2016A000011124,Average expenditure per household,Food expenditures,Dollars,8527
2010,Canada,2016A000011124,Average expenditure per household,Food purchased from stores,Dollars,5709
2011,Canada,2016A000011124,Average expenditure per household,Food purchased from stores,Dollars,5573
2012,Canada,2016A000011124,Average expenditure per household,Food purchased from stores,Dollars,5564
2013,Canada,2016A000011124,Average expenditure per household,Food purchased from stores,Dollars,5718
2014,Canada,2016A000011124,Average expenditure per household,Food purchased from stores,Dollars,5880
2015,Canada,2016A000011124,Average expenditure per household,Food purchased from stores,Dollars,6126
2016,Canada,2016A000011124,Average expenditure per household,Food purchased from stores,Dollars,6176
2017,Canada,2016A000011124,Average expenditure per household,Food purchased from stores,Dollars,5934
2010,Canada,2016A000011124,Average expenditure per household,Food purchased from restaurants,Dollars,2141
2011,Canada,2016A000011124,Average expenditure per household,Food purchased from restaurants,Dollars,2218
2012,Canada,2016A000011124,Average expenditure per household,Food purchased from restaurants,Dollars,2195
2013,Canada,2016A000011124,Average expenditure per household,Food purchased from restaurants,Dollars,2216
2014,Canada,2016A000011124,Average expenditure per household,Food purchased from restaurants,Dollars,2229
2015,Canada,2016A000011124,Average expenditure per household,Food purchased from restaurants,Dollars,2502
2016,Canada,2016A000011124,Average expenditure per household,Food purchased from restaurants,Dollars,2608
2017,Canada,2016A000011124,Average expenditure per household,Food purchased from restaurants,Dollars,2593
2010,Canada,2016A000011124,Average expenditure per household,Shelter,Dollars,15020
2011,Canada,2016A000011124,Average expenditure per household,Shelter,Dollars,15215
2012,Canada,2016A000011124,Average expenditure per household,Shelter,Dollars,15807
2013,Canada,2016A000011124,Average expenditure per household,Shelter,Dollars,16361
2014,Canada,2016A000011124,Average expenditure per household,Shelter,Dollars,17160
2015,Canada,2016A000011124,Average expenditure per household,Shelter,Dollars,17509
2016,Canada,2016A000011124,Average expenditure per household,Shelter,Dollars,18032
2017,Canada,2016A000011124,Average expenditure per household,Shelter,Dollars,18637
2010,Canada,2016A000011124,Average expenditure per household,Principal accommodation,Dollars,13586
2011,Canada,2016A000011124,Average expenditure per household,Principal accommodation,Dollars,13981
2012,Canada,2016A000011124,Average expenditure per household,Principal accommodation,Dollars,14364
2013,Canada,2016A000011124,Average expenditure per household,Principal accommodation,Dollars,14891
2014,Canada,2016A000011124,Average expenditure per household,Principal accommodation,Dollars,15471
2015,Canada,2016A000011124,Average expenditure per household,Principal accommodation,Dollars,15802
2016,Canada,2016A000011124,Average expenditure per household,Principal accommodation,Dollars,16293
2017,Canada,2016A000011124,Average expenditure per household,Principal accommodation,Dollars,16846
2010,Canada,2016A000011124,Average expenditure per household,Rented living quarters,Dollars,3088
2011,Canada,2016A000011124,Average expenditure per household,Rented living quarters,Dollars,3224
2012,Canada,2016A000011124,Average expenditure per household,Rented living quarters,Dollars,3521
2013,Canada,2016A000011124,Average expenditure per household,Rented living quarters,Dollars,3234
2014,Canada,2016A000011124,Average expenditure per household,Rented living quarters,Dollars,3589
2015,Canada,2016A000011124,Average expenditure per household,Rented living quarters,Dollars,3790
2016,Canada,2016A000011124,Average expenditure per household,Rented living quarters,Dollars,3868
2017,Canada,2016A000011124,Average expenditure per household,Rented living quarters,Dollars,4075
2010,Canada,2016A000011124,Average expenditure per household,Owned living quarters,Dollars,8259
2011,Canada,2016A000011124,Average expenditure per household,Owned living quarters,Dollars,8434
2012,Canada,2016A000011124,Average expenditure per household,Owned living quarters,Dollars,8536
2013,Canada,2016A000011124,Average expenditure per household,Owned living quarters,Dollars,9278
2014,Canada,2016A000011124,Average expenditure per household,Owned living quarters,Dollars,9332
2015,Canada,2016A000011124,Average expenditure per household,Owned living quarters,Dollars,9534
2016,Canada,2016A000011124,Average expenditure per household,Owned living quarters,Dollars,9965
2017,Canada,2016A000011124,Average expenditure per household,Owned living quarters,Dollars,10287
2010,Atlantic Region,2016A00011,Average expenditure per household,Total expenditure,Dollars,61585
2011,Atlantic Region,2016A00011,Average expenditure per household,Total expenditure,Dollars,65056
2012,Atlantic Region,2016A00011,Average expenditure per household,Total expenditure,Dollars,67353
2013,Atlantic Region,2016A00011,Average expenditure per household,Total expenditure,Dollars,68730
2014,Atlantic Region,2016A00011,Average expenditure per household,Total expenditure,Dollars,71280
2015,Atlantic Region,2016A00011,Average expenditure per household,Total expenditure,Dollars,71219
2016,Atlantic Region,2016A00011,Average expenditure per household,Total expenditure,Dollars,72954
2017,Atlantic Region,2016A00011,Average expenditure per household,Total expenditure,Dollars,74047
2010,Atlantic Region,2016A00011,Average expenditure per household,Total current consumption,Dollars,46558
2011,Atlantic Region,2016A00011,Average expenditure per household,Total current consumption,Dollars,49167
2012,Atlantic Region,2016A00011,Average expenditure per household,Total current consumption,Dollars,50996
2013,Atlantic Region,2016A00011,Average expenditure per household,Total current consumption,Dollars,51623
2014,Atlantic Region,2016A00011,Average expenditure per household,Total current consumption,Dollars,53191
2015,Atlantic Region,2016A00011,Average expenditure per household,Total current consumption,Dollars,52703
2016,Atlantic Region,2016A00011,Average expenditure per household,Total current consumption,Dollars,53651
2017,Atlantic Region,2016A00011,Average expenditure per household,Total current consumption,Dollars,54463
2010,Atlantic Region,2016A00011,Average expenditure per household,Food expenditures,Dollars,7237
2011,Atlantic Region,2016A00011,Average expenditure per household,Food expenditures,Dollars,7484
2012,Atlantic Region,2016A00011,Average expenditure per household,Food expenditures,Dollars,7357
2013,Atlantic Region,2016A00011,Average expenditure per household,Food expenditures,Dollars,7143
2014,Atlantic Region,2016A00011,Average expenditure per household,Food expenditures,Dollars,7779
2015,Atlantic Region,2016A00011,Average expenditure per household,Food expenditures,Dollars,7824
2016,Atlantic Region,2016A00011,Average expenditure per household,Food expenditures,Dollars,8061
